ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
007-119-40,[98],1,['139014'],1,AM,AM,12.0,7.0,119.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-120-30,[24],1,['31034'],1,AM,AM,22.0,7.0,120.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-120-40,[24],1,['22014'],1,AM,AM,20.0,7.0,120.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-121-30,[98],1,['139014'],1,AM,AM,12.0,7.0,121.0,30.0,MCC MADRID,98,98,posicion_rack,1.5
007-121-40,[98],1,['139014'],1,AM,AM,12.0,7.0,121.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-122-30,[24],1,['31045'],1,AM,AM,20.0,7.0,122.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-122-40,[24],1,['22140'],1,AM,AM,18.0,7.0,122.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-125-30,[98],1,['139014'],1,AM,AM,11.0,7.0,125.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-125-40,[98],1,['139014'],1,AM,AM,12.0,7.0,125.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-126-30,[24],1,['31045'],1,AM,AM,24.0,7.0,126.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-126-40,[24],1,['31047'],1,AM,AM,26.0,7.0,126.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-127-10,[98],1,['139014'],1,AM,AM,12.0,7.0,127.0,10.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-127-30,[98],1,['139014'],1,AM,AM,12.0,7.0,127.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-127-40,[98],1,['139014'],1,AM,AM,12.0,7.0,127.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-128-30,[24],1,['31004'],1,AM,AM,20.0,7.0,128.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-128-40,[24],1,['31047'],1,AM,AM,26.0,7.0,128.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-131-10,[98],1,['139014'],1,AM,AM,12.0,7.0,131.0,10.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-131-30,[98],1,['139014'],1,AM,AM,12.0,7.0,131.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-131-40,[98],1,['139014'],1,AM,AM,12.0,7.0,131.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-132-10,[95],1,['167000'],1,AM,AM,1.0,7.0,132.0,10.0,INNOVACION,95,95,posicion_rack,1.5
007-132-30,[24],1,['31004'],1,AM,AM,20.0,7.0,132.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-132-40,[24],1,['31047'],1,AM,AM,26.0,7.0,132.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-001-10,[3],1,['22126'],1,AM,AM,20.0,8.0,1.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-001-20,[3],1,['22126'],1,AM,AM,25.0,8.0,1.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-001-30,[3],1,['22126'],1,AM,AM,12.0,8.0,1.0,30.0,ALHAMBRA,3,3,posicion_rack,1.5
008-001-40,[24],1,['22140'],1,EU,EU,12.0,8.0,1.0,40.0,MCC MADRID,24,24,posicion_rack,1.0
008-002-10,[3],1,['22009'],1,AM,AM,22.0,8.0,2.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-002-20,[3],1,['22009'],1,AM,AM,27.0,8.0,2.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-002-30,[24],1,['31004'],1,AM,AM,20.0,8.0,2.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-002-40,[23],1,['31004'],1,AM,AM,20.0,8.0,2.0,40.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-005-10,[23],1,['31124'],1,AM,AM,73.0,8.0,5.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-005-20,[80],1,['31132'],1,AM,AM,17.0,8.0,5.0,20.0,ABI HORECA,80,80,posicion_rack,1.5
008-005-30,[24],1,['22014'],1,AM,AM,13.0,8.0,5.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
