art,reserva,owner_base,uds,adr,qcnt,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte,estado_conversion,eu_equivalente,modulos_3eu,penaliza_altura_10,impacto_10
84098,77,77,180,BC12701,1,A,4.0,EU,posicion_rack,45.0,match_articulo_propietario; owner=prefijo_RESERVA,soportado,45.0,15.0,False,0.0
22105,64,64,1,AV03306,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
105093,29,29,9,BF07103,9,C,12.0,balda_9h,subhueco_balda,0.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.08333333333333333,0.027777777777777776,False,0.0
*MULTI*,,sin_asignacion_segura,1,AJ02201,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
144024,7,7,7,BB07901,1,B,5.0,EU,posicion_rack,1.4,match_articulo; owner=prefijo_RESERVA,soportado,1.4,0.4666666666666666,False,0.0
98719,61,61,104,BD09602,104,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
98006,14 VOLUNTARIA,14,13,BA02801,13,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
16017,29,29,4,AU04604,1,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,2.0,0.6666666666666666,False,0.0
148066,37,37,1,AL107,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.009259259259259259,0.0030864197530864196,False,0.0
154022,64,64,2,AI05701,2,C,1.0,suelo_250,posicion_suelo,2.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA,inferido,2.0,0.6666666666666666,True,2.0
121034,32,32,28,AZ08905,28,C,12.0,balda_9h,subhueco_balda,2.3333333333333335,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.25925925925925924,0.08641975308641976,False,0.0
186079,61,61,48,AJ02201,48,C,12.0,balda_9h,subhueco_balda,4.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.4444444444444444,0.14814814814814814,False,0.0
133108,33,33,16791,AU09403,1,C,12.0,balda_9h,subhueco_balda,1399.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,155.4722222222222,51.824074074074076,False,0.0
*MULTI*,,sin_asignacion_segura,1,BA14303,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
128072,80,80,2,AI13003,1,A,3.0,AM,posicion_rack,0.6666666666666666,match_articulo_propietario; owner=prefijo_RESERVA,soportado,1.0,0.3333333333333333,False,0.0
86037,32,32,160,AK01803,160,C,12.0,balda_9h,subhueco_balda,13.333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,1.4814814814814814,0.4938271604938272,False,0.0
105582,33,33,3,BA04603,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.027777777777777776,0.009259259259259259,False,0.0
98897,64,64,51,AZ01902,51,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
64002,61,61,4,AK01105,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.037037037037037035,0.012345679012345678,False,0.0
61027,61,61,18,AK01105,18,A,24.0,balda_9h,subhueco_balda,0.75,match_articulo_propietario; owner=prefijo_RESERVA,soportado,0.08333333333333333,0.027777777777777776,False,0.0
121035,33,33,59,BA04603,59,C,12.0,balda_9h,subhueco_balda,4.916666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.5462962962962963,0.18209876543209877,False,0.0
102568,29,29,3,AV13002,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.027777777777777776,0.009259259259259259,False,0.0
121030,32,32,29,AZ08905,29,C,12.0,balda_9h,subhueco_balda,2.4166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.2685185185185185,0.08950617283950617,False,0.0
14026,64,64,288,AJ08805,1,B,24.0,balda_9h,subhueco_balda,12.0,match_articulo; owner=prefijo_RESERVA,soportado,1.3333333333333333,0.4444444444444444,False,0.0
152178,64,64,2,AQ02003,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,False,0.0
991017,32,32,2,AK01803,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.018518518518518517,0.006172839506172839,False,0.0
