ubicacion,owner,article,tipologia,width,stock_pal_total,pallet_rows,denominacion,pasillo,columna,altura,denominacion_propietario
007-037-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,37.0,30.0,MCC MADRID
007-037-40,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,37.0,40.0,MCC MADRID
007-038-30,24,31034,EU,EU,14.0,1,SILLA PLASTICO GRIS ALHAMBRA,7.0,38.0,30.0,MCC MADRID
007-038-40,24,22014,EU,EU,20.0,1,MESA PLASTICO/METAL ROJA TERRAZA MAHOU,7.0,38.0,40.0,MCC MADRID
007-041-30,24,22007,AM,AM,8.0,1,MESA ROJA TERRAZA APLANADA MAHOU,7.0,41.0,30.0,MCC MADRID
007-041-40,24,31019,AM,AM,20.0,1,SILLA PLASTICO BLANCA PREMIUM MAHOU,7.0,41.0,40.0,MCC MADRID
007-042-00,23,46022,suelo_250,S,1.0,1,STAND GRANDE NEGRO MAHOU 220X114 CM,7.0,42.0,0.0,MAHOU-MARKETING OCIO
007-042-10,82,31149,AM,AM,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,42.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-042-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,42.0,30.0,MCC MADRID
007-042-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,42.0,40.0,MCC MADRID
007-043-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,43.0,30.0,MCC MADRID
007-043-40,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,43.0,40.0,MCC MADRID
007-044-30,24,31004,AM,AM,20.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,44.0,30.0,MCC MADRID
007-044-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,44.0,40.0,MCC MADRID
007-047-00,23,46022,suelo_250,S,1.0,1,STAND GRANDE NEGRO MAHOU 220X114 CM,7.0,47.0,0.0,MAHOU-MARKETING OCIO
007-047-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,47.0,30.0,MCC MADRID
007-047-40,24,31099,AM,AM,30.0,1,SILLA TERRAZA IRRADIACION BEIGE MAHOU,7.0,47.0,40.0,MCC MADRID
007-048-00,23,46022,suelo_250,S,1.0,1,STAND GRANDE NEGRO MAHOU 220X114 CM,7.0,48.0,0.0,MAHOU-MARKETING OCIO
007-048-10,82,31149,AM,AM,20.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,48.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-048-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,48.0,30.0,MCC MADRID
007-048-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,48.0,40.0,MCC MADRID
007-049-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,49.0,30.0,MCC MADRID
007-049-40,24,31045,AM,AM,23.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,49.0,40.0,MCC MADRID
007-050-00,24,41085,suelo_250,AM,3.0,1,ESTANTERIA MARRON 5 BALDAS (OPEN),7.0,50.0,0.0,MCC MADRID
007-050-30,24,31105,AM,AM,5.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,50.0,30.0,MCC MADRID
007-050-40,24,31061,AM,AM,24.0,1,SILLA TERRAZA BLANCA LOGO MAHOU 5*,7.0,50.0,40.0,MCC MADRID
007-052-00,5,46000,suelo_250,S,1.0,1,STAND SAN MIGUEL CONJUNTO 15PZS ACANTO,7.0,52.0,0.0,SAN MIGUEL
007-053-00,23,46022,suelo_250,S,1.0,1,STAND GRANDE NEGRO MAHOU 220X114 CM,7.0,53.0,0.0,MAHOU-MARKETING OCIO
007-053-30,14,22055,AM,AM,3.0,1,MESA TERR PLAST 70X70CM CUAD. GRIMB,7.0,53.0,30.0,FUNDACION MAHOU SAN MIGUEL
007-053-40,24,31043,AM,AM,24.0,1,SILLA PLASTICO NEGRA TERRAZA LA SALVE,7.0,53.0,40.0,MCC MADRID
007-054-30,24,31033,AM,AM,9.0,1,SILLA BLANCA MAHOU LOGO ROJO M 2018,7.0,54.0,30.0,MCC MADRID
007-054-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,54.0,40.0,MCC MADRID
007-055-30,82,22199,AM,AM,3.0,1,MESA CUADRADA MARMOL 1 LOGO BRUTUS 2024,7.0,55.0,30.0,BRUTUS DESARROLLO COMERCIAL
007-055-40,24,31091,AM,AM,20.0,1,SILLA TERRAZA LAMAS MARMOLADA MAHOU19,7.0,55.0,40.0,MCC MADRID
007-056-00,24,209019,suelo_250,S,1.0,1,ESTUFA NEGRA PARA EXTERIOR MURILLO,7.0,56.0,0.0,MCC MADRID
007-056-30,24,31004,AM,AM,20.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,56.0,30.0,MCC MADRID
007-056-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,56.0,40.0,MCC MADRID
007-057-00,23,23071,suelo_250,S,1.0,1,MESA FRIA EMPLATADO EL PATIO DE MAHOU,7.0,57.0,0.0,MAHOU-MARKETING OCIO
007-058-00,5,44106,suelo_250,S,1.0,1,STAND MAQUILLAJE ESPEJO POR DOS CARAS SA,7.0,58.0,0.0,SAN MIGUEL
007-059-00,23,23071,suelo_250,S,1.0,1,MESA FRIA EMPLATADO EL PATIO DE MAHOU,7.0,59.0,0.0,MAHOU-MARKETING OCIO
007-059-30,76,21224,AM,AM,2.0,1,MESA REDONDA VERDE BAJA PATAS EN CRUZ,7.0,59.0,30.0,UNIDAD INTERNACIONAL MARKETING
007-059-40,24,31033,AM,AM,26.0,1,SILLA BLANCA MAHOU LOGO ROJO M 2018,7.0,59.0,40.0,MCC MADRID
007-060-10,82,31149,AM,AM,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,60.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-060-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,60.0,30.0,MCC MADRID
007-060-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,60.0,40.0,MCC MADRID
007-061-30,76,21224,AM,AM,2.0,1,MESA REDONDA VERDE BAJA PATAS EN CRUZ,7.0,61.0,30.0,UNIDAD INTERNACIONAL MARKETING
007-061-40,24,31033,AM,AM,26.0,1,SILLA BLANCA MAHOU LOGO ROJO M 2018,7.0,61.0,40.0,MCC MADRID
007-062-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,62.0,30.0,MCC MADRID
