article,transaction_frequency,support,row_frequency,total_quantity,mean_quantity_per_tx,excluded_from_rules_flag
086115,1,4.693513564254201e-05,1,2,2.0,False
054105,1,4.693513564254201e-05,1,5,5.0,False
031114,1,4.693513564254201e-05,1,1,1.0,False
031111,1,4.693513564254201e-05,1,14,14.0,False
031110,1,4.693513564254201e-05,1,15,15.0,False
031109,1,4.693513564254201e-05,1,11,11.0,False
031102,1,4.693513564254201e-05,1,80,80.0,False
031100,1,4.693513564254201e-05,1,72,72.0,False
031099,1,4.693513564254201e-05,1,42,42.0,False
143102,1,4.693513564254201e-05,1,28,28.0,False
143101,1,4.693513564254201e-05,1,5,5.0,False
143100,1,4.693513564254201e-05,1,6,6.0,False
143099,1,4.693513564254201e-05,1,1,1.0,False
143098,1,4.693513564254201e-05,1,5,5.0,False
143097,1,4.693513564254201e-05,1,4,4.0,False
143085,1,4.693513564254201e-05,1,2,2.0,False
143082,1,4.693513564254201e-05,1,5,5.0,False
143081,1,4.693513564254201e-05,1,1,1.0,False
143077,1,4.693513564254201e-05,1,2,2.0,False
143062,1,4.693513564254201e-05,1,1,1.0,False
143057,1,4.693513564254201e-05,1,1,1.0,False
143053,1,4.693513564254201e-05,1,6,6.0,False
086136,1,4.693513564254201e-05,1,24,24.0,False
086133,1,4.693513564254201e-05,1,1050,1050.0,False
086132,1,4.693513564254201e-05,1,1000,1000.0,False
092119,1,4.693513564254201e-05,1,5,5.0,False
092118,1,4.693513564254201e-05,1,1,1.0,False
092115,1,4.693513564254201e-05,1,1,1.0,False
092112,1,4.693513564254201e-05,1,1,1.0,False
031057,1,4.693513564254201e-05,1,8,8.0,False
031055,1,4.693513564254201e-05,1,8,8.0,False
031054,1,4.693513564254201e-05,1,41,41.0,False
143119,1,4.693513564254201e-05,1,1,1.0,False
143118,1,4.693513564254201e-05,1,2,2.0,False
143116,1,4.693513564254201e-05,1,1,1.0,False
143115,1,4.693513564254201e-05,1,1,1.0,False
143114,1,4.693513564254201e-05,1,1,1.0,False
143113,1,4.693513564254201e-05,1,7,7.0,False
143110,1,4.693513564254201e-05,1,2,2.0,False
143107,1,4.693513564254201e-05,1,68,68.0,False
143104,1,4.693513564254201e-05,1,2,2.0,False
031032,1,4.693513564254201e-05,1,1,1.0,False
031024,1,4.693513564254201e-05,1,4,4.0,False
144,1,4.693513564254201e-05,1,1,1.0,False
031094,1,4.693513564254201e-05,1,4,4.0,False
031071,1,4.693513564254201e-05,1,58,58.0,False
031069,1,4.693513564254201e-05,1,14,14.0,False
103243,1,4.693513564254201e-05,1,3,3.0,False
103241,1,4.693513564254201e-05,1,3,3.0,False
103240,1,4.693513564254201e-05,1,3,3.0,False
103239,1,4.693513564254201e-05,1,3,3.0,False
103238,1,4.693513564254201e-05,1,2,2.0,False
103237,1,4.693513564254201e-05,1,3,3.0,False
051300,1,4.693513564254201e-05,1,4,4.0,False
051289,1,4.693513564254201e-05,1,1,1.0,False
051288,1,4.693513564254201e-05,1,1,1.0,False
051284,1,4.693513564254201e-05,1,1,1.0,False
054093,1,4.693513564254201e-05,1,24,24.0,False
054090,1,4.693513564254201e-05,1,2,2.0,False
054087,1,4.693513564254201e-05,1,2,2.0,False
054065,1,4.693513564254201e-05,1,1,1.0,False
054063,1,4.693513564254201e-05,1,2,2.0,False
086111,1,4.693513564254201e-05,1,300,300.0,False
144044,1,4.693513564254201e-05,1,1,1.0,False
144043,1,4.693513564254201e-05,1,1,1.0,False
144036,1,4.693513564254201e-05,1,6,6.0,False
144020,1,4.693513564254201e-05,1,1,1.0,False
144014,1,4.693513564254201e-05,1,5,5.0,False
144013,1,4.693513564254201e-05,1,1,1.0,False
144012,1,4.693513564254201e-05,1,20,20.0,False
144004,1,4.693513564254201e-05,1,6,6.0,False
144002,1,4.693513564254201e-05,1,1,1.0,False
031041,1,4.693513564254201e-05,1,32,32.0,False
103195,1,4.693513564254201e-05,1,2,2.0,False
103190,1,4.693513564254201e-05,1,2,2.0,False
144075,1,4.693513564254201e-05,1,1,1.0,False
144074,1,4.693513564254201e-05,1,1,1.0,False
144073,1,4.693513564254201e-05,1,1,1.0,False
144072,1,4.693513564254201e-05,1,1,1.0,False
144071,1,4.693513564254201e-05,1,1,1.0,False
144070,1,4.693513564254201e-05,1,1,1.0,False
144069,1,4.693513564254201e-05,1,1,1.0,False
144067,1,4.693513564254201e-05,1,1,1.0,False
144065,1,4.693513564254201e-05,1,1,1.0,False
144064,1,4.693513564254201e-05,1,1,1.0,False
144060,1,4.693513564254201e-05,1,2,2.0,False
054102,1,4.693513564254201e-05,1,2,2.0,False
054098,1,4.693513564254201e-05,1,3,3.0,False
054095,1,4.693513564254201e-05,1,2,2.0,False
031012,1,4.693513564254201e-05,1,41,41.0,False
031008,1,4.693513564254201e-05,1,2,2.0,False
031005,1,4.693513564254201e-05,1,7,7.0,False
145006,1,4.693513564254201e-05,1,1,1.0,False
145003,1,4.693513564254201e-05,1,1,1.0,False
145002,1,4.693513564254201e-05,1,1,1.0,False
