owner,article,transaction_frequency,total_quantity
16,184067,1,37.0
16,184061,1,35.0
16,184062,1,35.0
16,184064,1,35.0
16,184065,1,35.0
16,184060,1,34.0
16,184066,1,34.0
16,019075,1,24.0
16,051333,1,15.0
16,143011,1,12.0
16,084044,1,10.0
16,086011,1,10.0
16,087010,1,9.0
16,125085,1,7.0
16,121051,1,6.0
16,991047,1,5.767
16,032038,1,5.0
16,049000,1,5.0
16,086021,1,5.0
16,127043,1,5.0
16,096027,1,4.0
16,121504,1,4.0
16,128044,1,4.0
16,184068,1,4.0
16,083130,1,3.0
16,109208,1,3.0
16,124026,1,3.0
16,051050,1,2.0
16,125000,1,2.0
16,127008,1,2.0
16,128060,1,2.0
16,128062,1,2.0
16,134013,1,2.0
16,126089,1,1.5
16,044003,1,1.0
16,051044,1,1.0
16,087001,1,1.0
16,091082,1,1.0
16,128038,1,1.0
16,128061,1,1.0
16,173004,1,1.0
16,187050,1,1.0
17,161041,4,13.0
17,062042,2,72.0
17,049019,2,2.0
17,126075,1,100.0
17,014004,1,96.0
17,062016,1,72.0
17,012017,1,48.0
17,062005,1,36.0
17,086084,1,12.0
17,108008,1,11.0
17,016037,1,5.0
17,991066,1,5.0
17,108009,1,3.0
17,108007,1,2.0
17,122026,1,2.0
17,192013,1,1.0
20,155007,3,47.0
20,155006,3,11.0
20,042087,3,8.0
20,036030,3,3.0
20,044082,3,3.0
20,091161,3,3.0
20,120508,3,3.0
20,044080,2,2.0
20,044081,2,2.0
20,051209,2,2.0
20,051214,2,2.0
20,094066,2,2.0
20,133084,1,725.0
20,106028,1,10.0
20,106027,1,5.0
20,106029,1,5.0
20,042088,1,2.0
20,187167,1,2.0
20,013048,1,1.0
20,013049,1,1.0
20,013050,1,1.0
20,013051,1,1.0
20,013052,1,1.0
20,013053,1,1.0
20,013055,1,1.0
20,013057,1,1.0
20,013058,1,1.0
20,013059,1,1.0
20,015159,1,1.0
20,015162,1,1.0
20,015163,1,1.0
20,017015,1,1.0
20,051207,1,1.0
20,102511,1,1.0
20,149039,1,1.0
20,159003,1,1.0
20,162032,1,1.0
20,162033,1,1.0
20,162034,1,1.0
20,181145,1,1.0
200,LPAZ061,2,1200.0
200,LPAZ054,2,948.0
200,TPA1569,2,100.0
200,TPA1422,2,40.0
200,BHV406,2,4.0
200,MHP0319,2,4.0
200,MHP0103,2,3.0
200,MHP0203,2,3.0
200,MHP0104,2,2.0
200,MHP0109,2,2.0
200,MHP0118,2,2.0
200,MHP0125,2,2.0
200,MHP0136,2,2.0
200,MHP0137,2,2.0
200,MHP0201,2,2.0
200,MHP0202,2,2.0
200,LPAZ338,1,960.0
200,LPAZ339,1,960.0
200,LPAZ340,1,960.0
200,LPAZ341,1,960.0
200,LPAZ342,1,960.0
200,LPAZ343,1,960.0
200,LPAZ344,1,960.0
200,LPAZ345,1,960.0
200,LPAZ346,1,960.0
200,LPAZ347,1,960.0
200,TPA1736,1,950.0
200,TPA1737,1,950.0
200,TPA1738,1,950.0
200,TPA1741,1,950.0
200,LPAZ166,1,900.0
200,LPAZ384,1,900.0
200,TPAZ112,1,900.0
200,TPAZ113,1,900.0
