antecedent,consequent,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,npmi,shared_transactions
991106,019054,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
091160,991106,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
991106,091160,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
071000,127004,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
127004,071000,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
9990P,1848BR,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
EH18NC,1848BR,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
9990P,63UP,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
EH18NC,63UP,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
71167,71168,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
113049,113051,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
113049,113053,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
113049,113054,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
144010,144011,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
099006,092030,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
103989,107078,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
063002,071000,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
063002,127004,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
071003,071000,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
071003,127004,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
102681,102679,0.000281610813855252,0.000281610813855252,0.00032854594949779405,1.0,3043.714285714286,0.0002815182917630251,inf,0.981143612051366,6
018064,018065,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
203009,203014,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
203010,203014,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
203013,203014,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
