granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
,,,,pair_affinity,012012,012019,full_history,21120.0,129.0,0.006107954545454546,23.128013582342952,0.31851851851851853,0.1894273127753304,0.3758521726525019
,,,,pair_affinity,011014,018000,full_history,21120.0,125.0,0.005918560606060606,1.1315417256011318,0.07248477819657873,0.037605294825511434,0.08183580073083356
,,,,pair_affinity,022199,065072,full_history,21120.0,121.0,0.005729166666666666,23.881132604429496,0.30671736375158426,0.18113772455089822,0.36989050931261264
,,,,pair_affinity,012012,012040,full_history,21120.0,118.0,0.0055871212121212125,21.380919698009606,0.29207920792079206,0.17101449275362318,0.3456266627148573
,,,,pair_affinity,065072,129079,full_history,21120.0,112.0,0.005303030303030303,30.285385058575002,0.30188679245283023,0.17777777777777778,0.4007546814505906
,,,,pair_affinity,022053,032040,full_history,21120.0,107.0,0.0050662878787878785,51.96826491893756,0.5119617224880383,0.3440514469453376,0.5131142081841534
,,,,pair_affinity,202022,204000,full_history,21120.0,107.0,0.0050662878787878785,43.8735730371981,0.4467640918580375,0.28763440860215056,0.4714617177220983
,,,,pair_affinity,126105,129079,full_history,21120.0,106.0,0.005018939393939394,36.19654319390774,0.34527687296416937,0.20866141732283464,0.4262255935069273
,,,,pair_affinity,022199,126105,full_history,21120.0,106.0,0.005018939393939394,26.419316009346456,0.32072617246596064,0.19099099099099098,0.3641386355225749
,,,,pair_affinity,022199,031149,full_history,21120.0,102.0,0.004829545454545454,107.65817091454272,0.7058823529411764,0.5454545454545454,0.7210686721700004
,,,,pair_affinity,202068,204082,full_history,21120.0,101.0,0.004782196969696969,105.33925925925924,0.7087719298245615,0.5489130434782609,0.7097556526155696
,,,,pair_affinity,022043,031047,full_history,21120.0,101.0,0.004782196969696969,91.02282910177084,0.6234567901234568,0.452914798206278,0.659764425764025
