propietario,owner_name,demanda_actual_eu,demanda_actual_am,demanda_actual_tr,suelo_estandar_actual,suelo_250_actual,suelo_300_actual,suelo_126_actual,balda_9h_actual,externo_soportado_total,externo_inferido_total,externo_revision_manual,total_recomendado_90,balda_9h,suelo_126,suelo_250,penalty_10_soportado,balda_9h_all,suelo_126_all,suelo_250_all,suelo_300_all,penalty_10_all,suelo_300,current_eq,supported_eq,suelo_250_total,suelo_300_total,suelo_126_total,balda_9h_total_subhuecos,balda_9h_total_posiciones_suelo,suelo_250_total_all,suelo_300_total_all,suelo_126_total_all,balda_9h_total_subhuecos_all,balda_9h_total_posiciones_suelo_all,special_floor_positions_total,special_floor_positions_total_all,penalty_10_total,penalty_10_total_all,floor_positions_required_90,floor_positions_required_fit,conditioned_extra_eq,floor_positions_required_layout,suelo_250_total_layout,suelo_300_total_layout,suelo_126_total_layout,balda_9h_total_posiciones_suelo_layout,penalty_10_total_layout,layout_support_status,buffer_positions_to_90,salidas_lineas,salidas_transacciones,volumen_unidades,servicios_lineas,ranking_operativo_score,salidas_lineas_2026,salidas_transacciones_2026,volumen_unidades_2026,ultima_salida_2026,observed_suelo_250,observed_suelo_300,observed_suelo_126,observed_balda_subhuecos,ranking_mode
64,CORONA,43.0,2.0,7.0,4.0,5.0,9.0,1.0,3.0,69.97423132423133,1208.1921296296302,0.0,173.67507184173851,13.0,1.2,0.0,0.0,119.91666666666667,1149.7,35.0,6.5,41.5,0.0,86.33333333333333,156.30756465756465,5.0,9.0,2.2,16.0,2,40.0,15.5,1150.7,122.91666666666667,14,18.2,1220.2,14.0,97.0,38.0,35.0,1208.1921296296302,35.0,5.0,9.0,2.2,2,14.0,base_soportada,3.0,667.0,176.0,30014.0,12.0,0.046600907213376896,9.0,2.0,738.0,1769106747000000000,5,9,1,3,rotacion_2026_strict
14,FUNDACION MAHOU SAN MIGUEL,117.0,12.0,7.0,3.0,3.0,2.0,1.0,75.0,0.4618677823982635,11.5,0.0,193.1057790174796,4.156810041584372,0.0,0.0,0.0,4.156810041584372,11.5,0.0,0.0,0.0,0.0,173.33333333333334,173.7952011157316,3.0,2.0,1.0,79.15681004158438,9,3.0,2.0,12.5,79.15681004158438,9,15.0,26.5,5.0,5.0,40.0,36.0,11.5,36.0,3.0,2.0,1.0,9,5.0,base_soportada,4.0,2081.0,234.0,87283.0,51.0,0.10349342964846753,5.0,2.0,12.0,1775464219000000000,3,2,1,75,rotacion_2026_strict
24,MCC MADRID,159.0,229.0,3.0,3.0,15.0,7.0,6.0,4.0,3.807692307692308,66.81481481481481,0.0,607.5023741690408,0.0,0.0,0.0,0.0,583.3333333333334,2.0,0.0,0.0,0.0,0.0,542.9444444444445,546.7521367521367,15.0,7.0,6.0,4.0,1,15.0,7.0,8.0,587.3333333333334,66,29.0,96.0,22.0,22.0,126.0,114.0,66.81481481481481,114.0,15.0,7.0,6.0,1,22.0,base_soportada,12.0,8046.0,2150.0,1353215.0,44.0,0.6733359788688481,4.0,4.0,75.0,1772181241000000000,15,7,6,4,rotacion_2026_strict
46,REFEEL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,base_soportada,0.0,4.0,1.0,3004.0,7.0,0.000963438599840405,4.0,1.0,3004.0,1775720421000000000,0,0,0,0,rotacion_2026_strict
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,18.0,3.0,3.0,0.0,5.0,1.0,0.0,1.0,0.5,0.0,0.0,42.34567901234568,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,37.611111111111114,38.111111111111114,5.5,1.0,0.0,1.0,1,5.5,1.0,0.0,1.0,1,7.5,7.5,7.0,7.0,10.0,10.0,0.0,10.0,5.5,1.0,0.0,1,7.0,base_soportada,0.0,45.0,19.0,1518.0,4.0,0.004140175719072319,3.0,2.0,4.0,1773313508000000000,5,1,0,1,rotacion_2026_strict
76,UNIDAD INTERNACIONAL MARKETING,34.0,6.0,3.0,0.0,8.0,7.0,1.0,6.0,0.0,0.0,0.0,76.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.66666666666667,68.66666666666667,8.0,7.0,1.0,6.0,1,8.0,7.0,1.0,6.0,1,17.0,17.0,15.0,15.0,19.0,17.0,0.0,17.0,8.0,7.0,1.0,1,15.0,base_soportada,2.0,125.0,22.0,2643.0,6.0,0.0070630178033781145,2.0,2.0,8.0,1770278987000000000,8,7,1,6,rotacion_2026_strict
32,MCC CENTRO - OESTE,8.0,1.0,4.0,0.0,3.0,3.0,1.0,6.0,42.782669819156,547.2743055555555,0.0,79.94370720646963,3.9,5.875,1.0,1.0,695.9,470.375,1.0,0.0,1.0,0.0,29.166666666666668,71.94933648582267,4.0,3.0,6.875,9.9,2,4.0,3.0,471.375,701.9,78,15.875,556.375,8.0,8.0,18.0,16.0,547.2743055555555,16.0,4.0,3.0,6.875,2,8.0,base_soportada,2.0,1023.0,322.0,74258.0,0.0,0.08041278050180967,1.0,1.0,1.0,1773060390000000000,3,3,1,6,rotacion_2026_strict
7,CERVECISTAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8631718100187,162.14351851851848,0.0,25.40352423335411,0.5,0.0,0.0,0.0,1075.4166666666665,39.5,1.0,0.0,1.0,0.0,0.0,22.8631718100187,0.0,0.0,0.0,0.5,1,1.0,0.0,39.5,1075.4166666666665,120,1.0,160.5,0.0,2.0,6.0,5.0,162.14351851851848,5.0,0.0,0.0,0.0,1,0.0,base_soportada,1.0,1296.0,350.0,66481.0,1.0,0.09100973731095355,1.0,1.0,1.0,1769418471000000000,0,0,0,0,rotacion_2026_strict
33,IPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.77210580158962,1688.8773148148143,0.0,186.41345089065516,0.0,0.0,0.0,0.0,7096.333333333333,896.5,3.0,0.0,3.0,0.0,0.0,167.77210580158962,0.0,0.0,0.0,0.0,0,3.0,0.0,896.5,7096.333333333333,789,0.0,1688.5,0.0,6.0,38.0,34.0,1688.8773148148143,34.0,0.0,0.0,0.0,0,0.0,base_soportada,4.0,1493.0,1007.0,324785.0,0.0,0.2147388713905275,0.0,0.0,0.0,-9223372036854775808,0,0,0,0,rotacion_2026_strict
71,BUDWEISER,7.0,0.0,3.0,0.0,4.0,2.0,2.0,1.0,9.183819871105094,199.79629629629628,0.0,36.994367758018,8.444444444444445,0.0,0.0,0.0,431.86111111111114,127.0,21.0,2.5,23.5,0.0,24.11111111111111,33.2949309822162,4.0,2.0,2.0,9.444444444444445,2,25.0,4.5,129.0,432.86111111111114,49,10.0,207.5,6.0,53.0,10.0,10.0,199.79629629629628,10.0,4.0,2.0,2.0,2,6.0,base_soportada,0.0,347.0,192.0,19846.0,1.0,0.03781230750760963,0.0,0.0,0.0,-9223372036854775808,4,2,2,1,rotacion_2026_strict
80,ABI HORECA,13.0,7.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,31.04938271604938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.944444444444443,27.944444444444443,1.0,0.0,2.0,4.0,1,1.0,0.0,2.0,4.0,1,4.0,4.0,1.0,1.0,7.0,6.0,0.0,6.0,1.0,0.0,2.0,1,1.0,base_soportada,1.0,120.0,31.0,132462.0,0.0,0.022540371420755663,0.0,0.0,0.0,-9223372036854775808,1,0,2,4,rotacion_2026_strict
37,ALHAMBRA CORPORATIVO,5.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,2.0,9.00578703703704,0.0,25.0,0.0,0.0,2.0,2.0,4.833333333333333,0.5,8.0,0.0,8.0,0.0,20.5,22.5,6.0,0.0,0.0,0.0,0,12.0,0.0,0.5,4.833333333333333,1,6.0,13.5,8.0,20.0,7.0,7.0,9.00578703703704,7.0,6.0,0.0,0.0,0,8.0,base_soportada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9223372036854775808,4,0,0,0,rotacion_2026_strict
72,LA SALVE,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.901234567901238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61111111111111,20.61111111111111,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,1,0.0,base_soportada,0.0,90.0,27.0,7227.0,0.0,0.0068251922504514095,0.0,0.0,0.0,-9223372036854775808,0,0,0,1,rotacion_2026_strict
49,MAHOU - SANDRINE GIRAUD,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,base_soportada,0.0,592.0,177.0,27894.0,2.0,0.04363107645717153,0.0,0.0,0.0,-9223372036854775808,0,0,0,0,rotacion_2026_strict
21,MIXTA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.7901234567901225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111111111111111,6.111111111111111,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1,0.0,base_soportada,0.0,9.0,9.0,2376.0,0.0,0.0015753076382515208,0.0,0.0,0.0,-9223372036854775808,0,0,0,1,rotacion_2026_strict
51,MCC BILBAO,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0,1.0,base_soportada,0.0,13.0,6.0,1062.0,0.0,0.0011315038369264139,0.0,0.0,0.0,-9223372036854775808,0,1,0,0,rotacion_2026_strict
60,MARCOS CELEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.29861111111111,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,415.0,47,0.0,47.0,0.0,0.0,0.0,0.0,46.29861111111111,47.0,0.0,0.0,0.0,47,0.0,condicionado_externo_inferido,0.0,25.0,11.0,6477.0,0.0,0.0027620154394393795,0.0,0.0,0.0,-9223372036854775808,0,0,0,0,rotacion_2026_strict
