ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
*MULTI*,,sin_asignacion_segura,1,AK01803,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,AQ03403,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
33057,64,64,1,TJ06900,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
124138,29,29,120,BA13602,60,C,2.0,suelo_126,posicion_suelo,60.0,dimensión <= 126 cm; owner=prefijo_RESERVA
121027,33,33,7,BA04603,7,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
183160,71,71,1,BB09205,1,C,2.0,suelo_300,posicion_suelo,0.5,dimensión >= 250 cm; owner=prefijo_RESERVA
139004,64,64,31,AP03201,1,A,28.0,EU,posicion_rack,1.1071428571428572,match_articulo_propietario; owner=prefijo_RESERVA
109313,29,29,10,BF07103,10,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
103178,29,29,13,AV13002,13,C,12.0,balda_9h,subhueco_balda,1.0833333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98776,71,71,2,AW02004,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
18076,77,77,60,AV11008,1,C,12.0,balda_9h,subhueco_balda,5.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
143049,29,29,11,AQ04804,1,B,47.0,EU,posicion_rack,0.23404255319148937,match_articulo; owner=prefijo_RESERVA
103284,29,29,36,AK04006,36,C,12.0,balda_9h,subhueco_balda,3.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BA03104,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
206050,29,29,5,AR09301,1,A,19.5,AM,posicion_rack,0.2564102564102564,match_articulo_propietario; owner=prefijo_RESERVA
154023,64,64,1,AI05701,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
183159,71,71,1,BB09205,1,C,2.0,suelo_300,posicion_suelo,0.5,dimensión >= 250 cm; owner=prefijo_RESERVA
149047,64,64,14,AW08300,1,C,2.0,suelo_126,posicion_suelo,7.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98008,14 VOLUNTARIA,14,14,BA02801,14,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
109203,29,29,14,B03,14,C,12.0,balda_9h,subhueco_balda,1.1666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
146105,71,71,2,AQ02803,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
172092,71,71,1,AZ11603,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
42072,64,64,5,BA08705,5,A,5.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
149024,29,29,3,AK14206,3,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
127037,71,71,78,BB09205,78,C,2.0,suelo_126,posicion_suelo,39.0,dimensión <= 126 cm; owner=prefijo_RESERVA
91031,33,33,1,AO08403,1,C,6.0,EU,posicion_rack,0.16666666666666666,dimensión compatible con EU; owner=prefijo_RESERVA
172091,71,71,1,AZ11603,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
74036,60,60,480,BB01705,1,C,12.0,balda_9h,subhueco_balda,40.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11109,29,29,456,AV04702,1,B,93.0,EU,posicion_rack,4.903225806451613,match_articulo; owner=prefijo_RESERVA
74019,34,34,396,AZ13404,1,A,270.0,EU,posicion_rack,1.4666666666666666,match_articulo_propietario; owner=prefijo_RESERVA
109206,29,29,35,AU14604,35,C,12.0,balda_9h,subhueco_balda,2.9166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
16024,29,29,15,AV06309,1,A,8.5,suelo_126,posicion_suelo,1.7647058823529411,match_articulo_propietario; owner=prefijo_RESERVA
204092,64,64,5,B03,1,C,1.0,suelo_250,posicion_suelo,5.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
152154,64,64,2,TJ05101,1,C,16.0,AM,posicion_rack,0.125,dimensión compatible con AM; owner=prefijo_RESERVA
71039,32,32,114,AV08106,1,B,60.0,balda_9h,subhueco_balda,1.9,match_articulo; owner=prefijo_RESERVA
14012,29,29,144,AO09401,1,A,120.0,EU,posicion_rack,1.2,match_articulo_propietario; owner=prefijo_RESERVA
121029,33,33,3,BA04603,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AR04304,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
167020,77,77,1,AQ07602,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
111036,32,32,333,AI10804,333,C,12.0,balda_9h,subhueco_balda,27.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
74019,34,34,324,BA02704,1,A,270.0,EU,posicion_rack,1.2,match_articulo_propietario; owner=prefijo_RESERVA
132073,71,71,3,BB09205,3,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
121024,33,33,20,BA04603,10,C,12.0,balda_9h,subhueco_balda,1.6666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
174121,33,33,3,BD02300,1,C,1.0,suelo_250,posicion_suelo,3.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
148000,3,3,3,AL103,1,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98637,61,61,3,AZ02300,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98765,64,64,3,BA03104,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
22043,29,29,15,00,1,B,5.0,AM,posicion_rack,3.0,match_articulo; owner=prefijo_RESERVA
143049,61,61,3,AJ02201,3,B,47.0,EU,posicion_rack,0.06382978723404255,match_articulo; owner=prefijo_RESERVA
166044,71,71,5,AQ15003,1,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA
31105,24,24,14,BD14302,1,A,26.0,AM,posicion_rack,0.5384615384615384,match_articulo_propietario; owner=prefijo_RESERVA
11004,61,61,600,AZ08405,1,B,96.0,EU,posicion_rack,6.25,match_articulo; owner=prefijo_RESERVA
86146,33,33,22,BB13701,22,B,3.0,EU,posicion_rack,7.333333333333333,match_articulo; owner=prefijo_RESERVA
148038,37 19BULTOS,37,19,AL102,1,C,16.0,AM,posicion_rack,1.1875,dimensión compatible con AM; owner=prefijo_RESERVA
84098,77 CAMION121,77,96,AL10701,1,A,4.0,EU,posicion_rack,24.0,match_articulo_propietario; owner=prefijo_RESERVA
