line_id,transaction_id,propietario,owner_name,location_actual,location_contrafactual,ahorro_metros_linea_proxy,unidad_analisis,escenario
2343,SG06202625657-01|29,29,MAHOU FUTBOL,015-093-20,008-013-20,134.5,linea,B_base_recomendado
2312,SG06202625658-01|89,89,BRAND MANAGEMENT MERCADO,018-162-30,010-061-40,157.3,linea,B_base_recomendado
2313,SG06202625658-01|89,89,BRAND MANAGEMENT MERCADO,015-055-09,010-063-05,157.3,linea,B_base_recomendado
2353,SG06202625660-01|4,4,NOMBRE,008-119-00,006-001-20,305.2,linea,B_base_recomendado
2344,SG06202625661-01|30,30,EVENTOS COMERCIALES,015-055-30,008-006-10,194.6,linea,B_base_recomendado
2346,SG06202625662-01|30,30,EVENTOS COMERCIALES,015-042-40,008-021-20,127.4,linea,B_base_recomendado
2345,SG06202625662-02|96,96,NOMBRE,015-040-08,009-002-00,157.2,linea,B_base_recomendado
2333,SG06202625664-01|5,5,NOMBRE,010-101-02,009-006-20,239.0,linea,B_base_recomendado
2394,SG06202625665-01|23,23,MAHOU-MARKETING OCIO,010-062-30,007-001-00,110.1,linea,B_base_recomendado
2397,SG06202625665-01|23,23,MAHOU-MARKETING OCIO,010-081-20,007-003-30,110.1,linea,B_base_recomendado
2365,SG06202625666-01|5,5,NOMBRE,010-093-07,009-001-30,40.2333,linea,B_base_recomendado
2366,SG06202625666-01|5,5,NOMBRE,010-097-01,009-001-20,40.2333,linea,B_base_recomendado
2367,SG06202625666-01|5,5,NOMBRE,010-080-30,009-001-00,40.2333,linea,B_base_recomendado
2368,SG06202625666-01|5,5,NOMBRE,010-080-30,009-001-00,40.2333,linea,B_base_recomendado
2369,SG06202625666-01|5,5,NOMBRE,010-080-30,009-001-00,40.2333,linea,B_base_recomendado
2371,SG06202625666-01|5,5,NOMBRE,010-080-30,009-001-00,40.2333,linea,B_base_recomendado
2936,SG06202625667-01|3,3,ALHAMBRA,015-010-08,006-032-00,65.1,linea,B_base_recomendado
2940,SG06202625667-01|3,3,ALHAMBRA,015-045-30,006-003-10,65.1,linea,B_base_recomendado
2379,SG06202625670-02|30,30,EVENTOS COMERCIALES,014-078-30,008-004-20,80.0667,linea,B_base_recomendado
2380,SG06202625670-02|30,30,EVENTOS COMERCIALES,015-039-10,008-021-20,80.0667,linea,B_base_recomendado
2381,SG06202625670-02|30,30,EVENTOS COMERCIALES,015-050-40,008-006-00,80.0667,linea,B_base_recomendado
2377,SG06202625678-01|23,23,MAHOU-MARKETING OCIO,015-122-30,007-003-10,373.6,linea,B_base_recomendado
2396,SG06202625679-02|23,23,MAHOU-MARKETING OCIO,014-074-00,008-001-10,241.2,linea,B_base_recomendado
2859,SG06202625680-01|95,95,INNOVACION,015-084-20,009-014-30,234.0,linea,B_base_recomendado
2404,SG06202625681-01|79,79,NOMBRE,020-091-20,011-002-40,150.8,linea,B_base_recomendado
2405,SG06202625681-01|79,79,NOMBRE,020-093-10,011-004-00,150.8,linea,B_base_recomendado
2448,SG06202625682-01|29,29,MAHOU FUTBOL,015-082-30,008-004-20,121.3,linea,B_base_recomendado
2449,SG06202625682-01|29,29,MAHOU FUTBOL,015-052-10,008-013-00,121.3,linea,B_base_recomendado
2395,SG06202625683-01|29,29,MAHOU FUTBOL,015-082-30,008-004-20,264.2,linea,B_base_recomendado
2415,SG06202625684-01|29,29,MAHOU FUTBOL,015-082-30,008-004-20,264.2,linea,B_base_recomendado
2403,SG06202625685-01|29,29,MAHOU FUTBOL,015-138-10,008-013-30,377.0,linea,B_base_recomendado
2500,SG06202625691-01|23,23,MAHOU-MARKETING OCIO,015-122-30,007-003-10,373.6,linea,B_base_recomendado
2505,SG06202625693-01|62,62,MAHOU JOVEN,015-051-40,010-061-03,31.0,linea,B_base_recomendado
2504,SG06202625694-01|62,62,MAHOU JOVEN,015-051-40,010-061-03,31.0,linea,B_base_recomendado
2506,SG06202625696-01|29,29,MAHOU FUTBOL,015-008-30,008-002-40,91.4,linea,B_base_recomendado
2507,SG06202625696-02|23,23,MAHOU-MARKETING OCIO,015-100-30,008-002-20,312.2,linea,B_base_recomendado
2930,SG06202625697-01|3,3,ALHAMBRA,015-084-40,006-004-40,145.5,linea,B_base_recomendado
2933,SG06202625697-01|3,3,ALHAMBRA,015-052-40,006-001-20,145.5,linea,B_base_recomendado
2509,SG06202625698-01|29,29,MAHOU FUTBOL,009-106-10,008-007-40,197.8,linea,B_base_recomendado
2510,SG06202625698-01|29,29,MAHOU FUTBOL,019-126-00,008-004-30,197.8,linea,B_base_recomendado
2845,SG06202625699-01|95,95,INNOVACION,010-065-08,009-005-30,46.5684,linea,B_base_recomendado
2847,SG06202625699-01|95,95,INNOVACION,011-116-20,009-001-00,46.5684,linea,B_base_recomendado
2848,SG06202625699-01|95,95,INNOVACION,011-126-20,009-001-40,46.5684,linea,B_base_recomendado
2850,SG06202625699-01|95,95,INNOVACION,012-036-10,009-001-10,46.5684,linea,B_base_recomendado
2851,SG06202625699-01|95,95,INNOVACION,014-111-30,009-002-10,46.5684,linea,B_base_recomendado
2852,SG06202625699-01|95,95,INNOVACION,014-101-30,009-006-10,46.5684,linea,B_base_recomendado
2853,SG06202625699-01|95,95,INNOVACION,014-034-30,009-005-40,46.5684,linea,B_base_recomendado
2854,SG06202625699-01|95,95,INNOVACION,014-028-30,009-012-40,46.5684,linea,B_base_recomendado
2856,SG06202625699-01|95,95,INNOVACION,014-021-10,009-004-20,46.5684,linea,B_base_recomendado
2857,SG06202625699-01|95,95,INNOVACION,014-053-30,009-007-00,46.5684,linea,B_base_recomendado
2861,SG06202625699-01|95,95,INNOVACION,014-019-10,009-001-30,46.5684,linea,B_base_recomendado
2862,SG06202625699-01|95,95,INNOVACION,014-061-20,009-006-00,46.5684,linea,B_base_recomendado
2863,SG06202625699-01|95,95,INNOVACION,014-066-30,009-001-20,46.5684,linea,B_base_recomendado
2864,SG06202625699-01|95,95,INNOVACION,014-047-40,009-004-30,46.5684,linea,B_base_recomendado
2865,SG06202625699-01|95,95,INNOVACION,014-100-10,009-003-30,46.5684,linea,B_base_recomendado
2866,SG06202625699-01|95,95,INNOVACION,018-124-30,009-005-10,46.5684,linea,B_base_recomendado
2867,SG06202625699-01|95,95,INNOVACION,018-130-30,009-002-30,46.5684,linea,B_base_recomendado
2868,SG06202625699-01|95,95,INNOVACION,010-078-20,009-003-10,46.5684,linea,B_base_recomendado
2869,SG06202625699-01|95,95,INNOVACION,010-078-20,009-003-10,46.5684,linea,B_base_recomendado
2538,SG06202625701-01|95,95,INNOVACION,011-116-20,009-001-00,55.1467,linea,B_base_recomendado
2539,SG06202625701-01|95,95,INNOVACION,011-121-20,009-004-10,55.1467,linea,B_base_recomendado
