propietario,owner_name,picks_2026,lineas_2026,horas_actuales,horas_contrafactuales,ahorro_horas,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_med_actual,pasillos_tocados_med_contrafactual,cambios_pasillo_med_actual,cambios_pasillo_med_contrafactual,reenganches_med_actual,reenganches_med_contrafactual,fragmentacion_proxy_med_actual,fragmentacion_proxy_med_contrafactual,busqueda_proxy_med_actual,busqueda_proxy_med_contrafactual,maniobra_proxy_med_actual,maniobra_proxy_med_contrafactual,transacciones_h_actual,transacciones_h_contrafactual,lineas_h_actual,lineas_h_contrafactual,uplift_productividad_pct,pasillos_actuales,num_pasillos_actuales,bloques_discontinuos_actuales,amplitud_pasillos_actual,dispersion_actual,pasillos_objetivo,num_pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,escenario
62,MAHOU JOVEN,34,78,6.947222222222222,5.566257957660521,1.380964264561702,10276.4,6524.0,3752.4,1.0294117647058822,1.0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.9264705882352942,0.0,0.058823529411764705,0.0,1.3529411764705883,1.2941176470588236,4.894042383046782,6.108232902359071,11.22750899640144,14.013004893647281,0.24809562816993758,"8,9,10,11,12,13,14,15,16,19",10,2,10,2.186,10,1.0,1.0,0.0,B_base_recomendado
89,BRAND MANAGEMENT MERCADO,27,64,5.610944444444445,4.392283100117143,1.218661344327302,8187.0,5186.4,3000.6,1.1481481481481481,1.0,0.2222222222222222,0.0,0.07407407407407407,0.0,1.0437814814814816,0.0,0.2222222222222222,0.0,1.4444444444444444,1.2222222222222223,4.812024119528303,6.147144750136872,11.406279394437458,14.571009778102216,0.2774550994435674,"8,9,10,11,12,13,14,15,16,18,19",11,2,10,2.0576,10,1.0,1.0,0.0,B_base_recomendado
98,MAHOU CANAL,6,12,1.319388888888889,0.3937567001709348,0.9256321887179542,1548.0,368.4,1179.6,1.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,1.2,0.0,0.3333333333333333,0.0,1.3333333333333333,1.0,4.547559897258831,15.237835946398686,9.095119794517663,30.475671892797372,2.350771906398356,"6,7,8,10,11,13,14,18,19,20",10,4,13,3.7469,11,1.0,1.0,0.0,B_base_recomendado
64,CORONA,2,9,0.9885555555555556,0.22530742724485925,0.7632481283106963,422.8,139.2,283.6,1.0,1.0,0.0,0.0,0.0,0.0,0.9286,0.0,0.0,0.0,3.5,3.5,2.023153872091716,8.876760186988612,9.104192424412723,39.94542084144876,3.3875852990909827,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.4996,12,1.0,1.0,0.0,B_base_recomendado
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,4,24,1.1875,0.5631380739874822,0.6243619260125179,1006.4,297.6,708.8,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.0,5.0,3.3684210526315788,7.103053735430637,20.210526315789473,42.61832241258382,1.1087190777059703,"8,10,11,12,13,14,15,16,18,19",10,3,10,1.6995,12,1.0,1.0,0.0,B_base_recomendado
61,MAHOU CORPORATIVO,9,29,2.195777777777778,1.5969746696513833,0.5988031081263945,3341.6,1730.4,1611.2,1.6666666666666667,1.0,0.6666666666666666,0.0,0.0,0.0,1.4583333333333333,0.0,0.6666666666666666,0.0,2.7777777777777777,2.111111111111111,4.098775427588301,5.635656075850398,13.207165266673414,18.159336244406838,0.3749609305056243,"8,10,12,14,15,16,18,19",8,5,10,2.0882,10,1.0,1.0,0.0,B_base_recomendado
12,ESPACIOS CERVECERAS,4,9,0.8783333333333333,0.30241081290469196,0.5759225204286414,1411.6,278.40000000000003,1133.2,2.0,1.0,1.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,2.25,1.25,4.5540796963946875,13.227040268763945,10.246679316888047,29.760840604718876,1.904437592349416,"6,7,8,10,11,12,13,14,19,20",10,3,13,1.9481,12,1.0,1.0,0.0,B_base_recomendado
79,NOMBRE,8,10,0.9691666666666667,0.42048935370966783,0.5486773129569988,2525.0,483.2,2041.8,1.0,1.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.25,0.25,8.25451418744626,19.02545196310416,10.318142734307823,23.7818149538802,1.3048542326135562,"10,11,12,15,16,20",6,3,9,3.2136,11,1.0,1.0,0.0,B_base_recomendado
14,FUNDACIÓN MAHOU SAN MIGUEL,2,5,0.5511111111111111,0.15772389867971257,0.39338721243139857,462.59999999999997,136.8,325.8,1.0,1.0,0.0,0.0,0.0,0.0,0.9231,0.0,0.0,0.0,1.5,1.5,3.629032258064516,12.680386528241788,9.07258064516129,31.700966320604472,2.4941509544488487,"6,7,8,9,10,11,12,13,14,15,18,19,20",13,2,13,3.766,12,1.0,1.0,0.0,B_base_recomendado
46,REFEEL,1,4,0.44472222222222224,0.07062839147402147,0.37409383074820074,396.0,68.4,327.6,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,2.2485946283572766,14.158612126510342,8.994378513429107,56.634448506041366,5.296649448484183,14,1,1,0,0.0,12,1.0,1.0,0.0,B_base_recomendado
