pasillo_destino,lado_destino,posicion_fisica,posicion_visual,ubicacion_destino,tipologia,propietario,owner_name,owner_name_abc,picking_lineas_2026,picking_transacciones_2026,picking_unidades_2026,abc_picking_2026,owner_name_final,abc_visual,label_owner_abc
6,impar,39,39,006-039-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,41,41,006-041-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,43,43,006-043-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,45,45,006-045-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,47,47,006-047-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,49,49,006-049-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,51,51,006-051-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,53,53,006-053-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,,55,006-055-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
6,impar,,57,006-057-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
